Emne,Vægt,Valgfag
JS,10,FE
Web animations,5,FE
Advanced CSS,9,FE
Frameworks,7,FE
React,6,FE
Node packages,4,FE
Databaser,3,FE
Forms,8,FE
SVG,2,FE
UI Design,1,FE
Visuel dannelse,10,DD
UI Design,9,DD
CSS,8,DD
Prototyping: Figma/XD,7,DD
Grafik med Adobe Creative Cloud,6,DD
Frontend Frameworks,5,DD
Indholdsdesign,4,DD
Javascript,3,DD
UX (research & test),2,DD
Designprocesser og metoder,1,DD
Digital business/marketing,10,DBCM
Content Creation,9,DBCM
Video & Video marketing,8,DBCM
Motion graphics,7,DBCM
WordPress,6,DBCM
SoMe marketing,5,DBCM
E-commerce,4,DBCM
SEM,3,DBCM
SEO,2,DBCM
E-mail marketing,1,DBCM
